id,market_cap,total_volume,fully_diluted_valuation,market_cap_rank,volume_gate,up_depth_gate,down_depth_gate,spread_pct_gate,volume_binance,up_depth_binance,down_depth_binance,spread_pct_binance,volume_bybit,up_depth_bybit,down_depth_bybit,spread_pct_bybit,volume_okx,up_depth_okx,down_depth_okx,spread_pct_okx,volume_kucoin,up_depth_kucoin,down_depth_kucoin,spread_pct_kucoin,volume_coinbase,up_depth_coinbase,down_depth_coinbase,spread_pct_coinbase
usdd,724526783,20401728.0,,57,957719.96379473,8092.03053657938,9989.69081763012,0.122451,,,,,8440.81,2841.39092628155,15119.2307474192,0.090117,,,,,70528.3519,18088.5642543921,15027.8221971339,0.330529,,,,
thorchain,700458886,150872848.0,1164711639.0,58,,,,,12388494.0,263754.826135982,329519.475964713,0.042808,22294.88,1030.27690152142,9727.03158380713,0.722006,,,,,,,,,,,,
thorchain,700458886,150872848.0,1164711639.0,58,,,,,12448387.8,312147.966559476,376664.824312687,0.042753,22294.88,1030.27690152142,9727.03158380713,0.722006,,,,,,,,,,,,
theta-token,651118774,14855451.0,651118774.0,64,96120.189220057,34605.6094411791,30756.8770918123,0.181488,3915436.4,68093.5701344867,171619.999506601,0.15361,56829.75,1690.6144645292,7003.43632909437,0.153257,1662035.637885,25612.3773014787,31868.0982406391,0.045858,350571.0898,57536.0290762398,80539.2222662443,0.030586,,,,
paxos-standard,483947093,2880671.0,483947093.0,81,,,,,318073.0,1612842.85199131,555884.081256697,0.010001,,,,,,,,,2544.76,5154.70697085629,24366.2886142579,0.228878,1386.41,2829.620316,10814.563455,0.270297
paxos-standard,483947093,2880671.0,483947093.0,81,,,,,318073.0,1612842.85199131,555884.081256697,0.010001,,,,,,,,,2544.76,5154.70697085629,24377.3178419785,0.228878,1386.41,2829.620316,10814.563455,0.270297
rocket-pool,479839086,3972876.0,479839086.0,83,4869.95006838,17715.0823932066,23510.6118717959,0.135752,19469.41,27917.0061408785,40595.9714123243,0.124172,1439.13,8380.95804841566,11796.1017581124,0.216809,1476.7807,2460.6975279432,14706.108919572,0.206101,1690.3267,16323.5386239626,23660.0826052193,0.164609,4040.854,10850.21898,24993.83268,0.246609
iota,456110747,10397336.0,703894687.0,88,168948.08384933,2780.18481865235,5054.91045605969,0.016526,11011673.0,59340.1900837021,82247.00690437,0.131406,,,,,1442392.81316,26656.5921570305,35750.5728366591,0.196464,144927.9858,18773.6009456106,19002.8854336102,0.130634,,,,
iota,456110747,10397336.0,703894687.0,88,168948.08384933,2780.18481865235,5054.91045605969,0.016526,11011673.0,59340.1900837021,82247.00690437,0.131406,,,,,1442392.81316,26656.5921570305,35750.5728366591,0.196464,144927.9858,18773.6009456106,19002.8854336102,0.130634,,,,
bittorrent,379533830,16655051.0,394923183.0,99,,,,,1809079945060.0,164051.238875799,540291.876581542,2.5,17507310569.0,1181.30949345502,1456.3165072014,0.75,809766828826.0,10633.7669138326,14758.4363785523,0.050213,89783354167.92421,4174.5129689931,1623.66659400083,0.20025,,,,
huobi-token,374981860,17089936.0,472943719.0,100,99088.126319507,11089.5233821329,18079.6463470761,0.220218,,,,,,,,,,,,,2923.0853,127.405353126015,1204.75134577808,0.704973,,,,
wemix-token,347816065,3798863.0,1054726912.0,108,567657.23681089,34027.4066095981,4501.59942738877,0.046301,,,,,24878.413,3515.52280239233,1996.23950086013,0.580966,,,,,32658.2733,2915.40897309649,1921.37553542576,0.332471,,,,
nexo,342420619,1841792.0,611465380.0,110,42246.67496936,2374.62438112346,5104.91435632948,0.228348,792784.5,15091.2692251271,27903.0850007548,0.163666,1523.18,925.242705303865,854.851177041177,0.423177,,,,,,,,,,,,
apenft,328734727,13833399.0,332016516.0,111,,,,,,,,,2992867694.0,1101.92915860378,1446.63740801636,0.47976,1059886179157.0,15676.758965033,20551.2632657407,0.120048,51592462664.01,5181.71031585314,6008.76074641314,0.239449,,,,
fetch-ai,313392559,73560382.0,346290121.0,114,1799622.7005348,30359.7275101093,22404.135205294,0.088284,75106651.0,240357.81507254,244692.983219554,0.033014,919260.46,1901.88863434713,4319.92850281106,0.066138,,,,,5544233.6605,61082.6889950806,74310.2107200531,0.098103,18734749.2,323178.49531,280783.94994,0.098425
arweave,301908071,8227500.0,304425646.0,117,17757.150059181,19492.2567353404,28309.3906191741,0.19359,786563.78,35218.4882416268,141530.58922539,0.043535,4849.4,1413.14825875254,4823.74684944814,0.341629,130615.091817,43696.350618032,45791.6716658266,0.107852,29181.8969,6597.65882429457,13411.8811368484,0.043085,,,,
safepal,295874898,4312132.0,351534533.0,121,51604.728241416,12211.1408725492,8684.8408192109,0.496225,1702211.0,63386.4262537331,57146.7625023124,0.014273,,,,,,,,,22738.5104,1933.64450136855,5494.65196955755,0.01417,,,,
